"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,2,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"yellow coneflower",165,85,97,215,40
"ox eye sunflower",15,7,16,55,13
"white sweet clover",50,10,100,160,100
"prickly lettuce",0,90,65,25,0
"yellow sweet clover",0,85,10,25,10
"black eyed susan",0,0,10,2,2
"field thistle",0,0,1,0,0
"common evening primrose",0,0,0,0,11
