"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"birdsfoot trefoil",100,20,80,80,20,180,160,230,180,700
"red clover",20,30,10,75,50,50,185,130,0,30
"white clover",110,60,50,60,30,150,10,50,0,0
"chicory",0,0,10,0,20,0,20,35,20,215
"wild bergamot",0,0,5,67,20,10,40,15,7,5
"yellow coneflower",0,0,10,180,50,195,65,85,90,10
"ox eye sunflower",0,0,0,9,3,17,0,2,30,0
"canada thistle",0,0,0,2,0,0,0,0,0,0
"white sweet clover",0,0,0,0,2,0,0,0,0,0
"virginia mountain mint",0,0,0,0,0,0,0,2,0,0
"blue vervain",0,0,0,0,0,0,0,0,21,0
"common cinquefoil",0,0,0,0,0,0,0,0,50,0
"queen annes lace",0,0,0,0,0,0,0,0,10,15
