Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,20,26,26,6,15
swamp milkweed ramet,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0
ox eye sunflower,13,27,23,5,6
pale purple coneflower,3,0,0,0,0
purple prairie clover,0,0,0,5,0
red clover,0,1,0,3,2
wild bergamot,8,30,29,25,38
yellow coneflower,33,27,68,53,75
