"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,2,2,9
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"black eyed susan",150,105,165,140,125
"red clover",30,15,35,25,150
"ox eye sunflower",10,5,2,8,0
"canada thistle",1,0,7,0,10
"canada milk vetch",3,0,1,0,0
"hoary vervain",15,5,8,9,36
"white sweet clover",0,25,70,0,60
"yellow coneflower",0,0,0,4,4
