"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"ox eye sunflower",59,38,35,20,13
"black eyed susan",43,20,44,20,69
"wild parsnip",5,3,0,25,50
"purple prairie clover",25,14,15,30,0
"wild bergamot",3,0,15,14,28
"wite sweet clover",10,0,0,0,0
"pale purple coneflower",0,1,1,0,1
"yellow coneflower",0,1,0,10,0
"yellow sweet clover",0,0,45,45,70
"red clover",0,0,25,0,0
