"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,2,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild bergamot",100,51,1,73,39,68,38,57,38,5
"yellow coneflower",40,41,41,21,22,23,25,26,6,6
"white clover",85,75,105,130,150,200,190,70,130,65
"alfalfa",5,0,8,0,0,0,0,0,0,8
"hoary vervain",1,2,0,0,0,0,0,0,0,0
"ox eye sunflower",17,21,8,11,15,0,20,1,1,6
"red clover",10,5,35,10,0,12,20,0,0,0
"common mullein",0,1,0,0,0,0,0,0,0,0
"yellow sweet clover",0,0,2,15,1,0,0,0,0,0
"wild parsnip",0,0,0,15,0,0,0,0,0,0
"canada thistle",0,0,0,2,0,0,0,0,1,5
"white sweet clover",0,0,0,10,0,0,0,0,0,0
"pale purple coneflower",0,0,0,0,0,1,0,0,0,0
"foxglove beardtongue",0,0,0,0,0,11,0,0,0,0
