"Nectar Plant Species",0-20m,20-40m,40-60m,60-80m,80-100m
"alfalfa",63,15,6,0,1
"white clover",104,162,215,60,205
"red clover",9,7,6,7,2
"black medic",90,12,0,0,0
"common dandelion",0,0,0,1,1
