"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"wild bergamot",70,200,130,77,310,360,190,82
"ox eye sunflower",2,6,1,12,13,36,28,18
"virginia mountain mint",2,0,0,10,0,0,0,35
"hoary vervain",0,1,0,2,0,3,4,3
"yellow coneflower",0,0,2,0,1,7,10,4
"musk thistle",0,0,1,0,0,0,0,0
"foxglove beardtongue",0,0,0,0,1,0,0,1
"prairie cinquefoil",0,0,0,0,0,0,0,0
"blue vervain",0,0,0,0,0,0,0,1
"purple prairie clover",0,0,0,0,0,0,0,1
