"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"hoary vervain",18,10,15,2,20,0,0,0,0,0
"birdsfoot trefoil",1,20,50,5,90,0,0,0,0,0
"wild bergamot",185,280,220,10,170,10,0,0,60,0
"ox eye sunflower",65,120,60,10,50,20,0,1,2,10
"white vervain",10,30,20,50,20,50,0,0,20,70
"red clover",10,0,5,0,5,0,0,0,0,0
"carolina horsenettle",0,5,30,25,0,0,0,0,0,0
"common st johnswort",0,0,10,0,0,0,0,0,0,0
"yellow coneflower",0,0,0,0,0,3,5,3,0,0
"lanceleaf fogfruit",0,0,0,0,0,0,0,2,10,0
