“Nectar Plant Species”,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
“common milkweed ramet”,1,1,1,1,0,1,2,0,0,0
“swamp milkweed ramet”,0,0,1,0,0,2,0,0,0,0
“butterfly milkweed ramet”,0,0,0,0,1,0,0,0,0,0
"common dandelion",2,1,1,2,3,1,2,5,2,5
"shepherds purse",0,0,0,0,31,23,14,0,0,0
"black medic",0,0,0,0,0,0,0,0,33,0
"white clover",0,0,0,0,0,0,0,0,0,1
