“Nectar Plant Species”,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
“common milkweed ramet”,0,0,1,0,0,1,0,0,0,1
“swamp milkweed ramet”,0,0,0,0,0,0,0,0,0,0
“butterfly milkweed ramet”,1,0,1,0,0,0,0,0,0,0
"common dandelion",3,11,21,5,19,12,8,6,7,3
"alfalfa",10,0,0,0,0,0,0,0,0,0
"black medic",57,498,314,4,0,0,0,0,0,0
"shepherds purse",0,0,0,0,25,4,13,21,13,47
"white clover",0,0,0,0,0,0,0,0,2,22
