"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"red clover",90,700,550,410,350,50
"alfalfa",15,0,20,5,2,0
"wild mustard",0,0,200,0,0,0,
"golden alexanders",0,0,2,0,0,0
"yellow sweet clover",0,0,0,0,0,14
