"Nectar Plant Species",0-10m,10-20m,20-30m
"common milkweed ramet",0,0,0
"swamp milkweed ramet",0,0,0
"butterfly milkweed ramet",0,0,0
"common dandelion",6,13,2
"foxglove beardtongue",22,18,7
"canada thistle",10,0,0
"pale purple coneflower",4,0,1
"yellow wood sorrel",6,0,0
"pineapple weed",85,290,0
"golden alexanders",3,2,0
"white clover",4,10,0
"common cinquefoil",0,50,0
"ox eye sunflower",0,3,2
