"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",16,16,38,0,0,16,86,3
"10m",16,16,16,0,0,3,38,2
"20m",38,16,16,0,0,3,63,2.5
"30m",16,16,38,0,0,3,86,.25
"40m",86,3,38,0,0,3,86,.5
