"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"alfalfa",25,660,410,210,80
"yellow sweet clover",23,43,98,210,120
"golden alexanders",21,0,0,0,0
"foxglove beardtongue",0,55,10,10,20
"wild parsnip",0,150,35,50,65
"black eyed susan",0,0,2,0,0
