"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",35,70,60,75,45,60,45,45,100,65
"white clover",80,70,60,80,20,30,20,5,20,30
"red clover",5,0,0,0,6,5,0,40,5,26
"queen annes lace",25,0,0,10,8,0,0,0,0,15
"yellow coneflower",5,10,7,13,5,0,0,6,9,0
"ox eye sunflower",0,1,0,0,3,0,0,11,3,8
"stinging nettle",2,0,0,0,0,0,0,5,0,0
"common cinquefoil",0,2,0,0,0,0,0,0,0,0
"birdsfoot trefoil",0,3,0,5,0,0,0,0,1,0
"lanceleaf fogfruit",0,0,10,0,0,0,0,0,0,0
"black eyed susan",0,0,5,1,0,0,0,0,0,5
"plantain",0,0,0,0,3,0,0,0,0,0
"common mullein",0,0,0,0,2,15,10,10,8,1
"hoary vervain",0,0,0,0,0,0,0,45,43,20
"musk thistle",0,0,0,0,0,0,0,0,3,0
