"Nectar Plant Species",0-20m,20-40m,40-50m
"white clover",20,5,0
"common mullein",7,1,0
"pennsylvania smartweed",5,0,0
"common dandelion",2,0,0
"common mallow",6,0,0
"black medic",5,0,0
"canada thistle",6,0,0
"compass plant",10,0,0
