"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow sweet clover",10,0,0,0,0,0,0,0,0,0
"canada thistle",23,0,6,2,0,0,0,0,0,0
"white clover",95,15,19,23,113,245,52,267,95,0
"red clover",3,8,28,132,407,289,1150,331,160,419
"yellow clover",1,1,0,0,4,4,42,11,0,14
"birdsfoot trefoil",0,0,0,21,30,46,1,42,92,84
"golden alexanders",0,0,0,3,1,3,0,0,0,0
