"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild parsnip",10,8,0,0,0,0,3,0,0,0
"white clover",200,475,500,400,425,200,40,50,100,120
"red clover",45,10,10,1,2,0,0,50,7,2
"musk thistle",0,5,1,3,2,17,40,13,6,30
"eastern daisy fleabane",10,0,0,1,0,0,0,0,0,0
"black medic",8,5,2,0,2,0,38,40,100,10
"birdsfoot trefoil",0,3,0,0,0,0,1,0,0,0
"yellow sweet clover",0,0,0,1,0,0,2,32,4,0
