"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,3,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"red clover",200,30,150,40,70
"eastern daisy fleabane",30,0,40,60,150
"wild parsnip",20,30,16,10,30
"morning glory",1,0,0,0,0
"yellow sweet clover",8,0,0,0,0
"blue vervain",0,9,20,0,0
"pennsylvania smartweed",0,15,0,0,0
"common mullein",0,1,0,0,0
"white clover",0,20,0,0,0
"wild mustard",0,0,20,7,0
