"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,4,0,4,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"pennsylvania smartweed",25,45,0,4,0,15
"red clover",100,150,210,250,270,230
"canada thistle",2,0,0,1,0,1
"yellow coneflower",40,109,8,0,25,3
"ox eye sunflower",0,4,3,0,12,4
"lesser burdock",0,0,2,0,0,0
"queen annes lace",0,0,0,2,0,0
"carolina horsenettle",0,0,0,4,3,0
"morning glory",0,0,0,1,2,0
"wild bergamot",0,0,0,0,0,2
