Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,4,2,0,0,1,0
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
ox eye sunflower,2,0,2,0,0,1,1
red clover,18,8,11,6,5,14,22
virginia mountain mint,18,3,0,0,8,0,1
white clover,0,0,0,2,0,0,3
winged loosestrife,0,0,0,0,0,20,0
yellow coneflower,12,21,21,20,5,29,13
