"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",3,0,0,1,0,0,1,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"black medic",59,92,0,0,0,36,0,0
"red clover",3,1,2,2,2,3,12,8
"queen annes lace",1,0,0,0,0,0,0,0
"eastern daisy fleabane",8,0,4,2,0,0,3,1
"yellow wood sorrel",5,4,0,0,0,0,0,0
"wild mustard",0,2,0,0,0,0,0,0
"bedstraw",0,0,0,0,0,430,653,204
"partridge pea",0,0,0,0,0,4,2,0
