"Nectar Plant Species",0-20m,20-40m,40-60m,60-80m,80-100m
"canada thistle",4,59,18,0,4
"wild parsnip",28,89,42,18,101
"yellow sweet clover",0,0,6,0,9
"red clover",0,0,0,8,2
"alfalfa",0,0,0,12,78
"common milkweed",0,0,0,0,2
