"Nectar Plant Species",0-20m,20-40m,40-60m,60-80m,80-100m
"white clover",154,194,353,252,245
"alfalfa",206,259,271,135,147
"white sweet clover",2,0,0,0,0
"red clover",80,22,17,8,5
"wild parsnip",0,1,0,0,0
