Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,2,1,0,0,1,1,1
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
birdsfoot trefoil,27,31,20,16,36,48,35,0,5,12
canada thistle,15,3,0,0,0,0,0,0,0,0
common st johnswort,0,0,0,0,44,0,0,0,0,0
common yarrow,30,0,4,5,4,1,1,2,0,0
foxglove beardtongue,0,0,0,2,0,0,0,0,0,3
ox eye sunflower,0,0,0,1,0,0,1,0,0,5
red clover,18,3,4,9,2,3,33,1,0,9
virginia mountain mint,0,0,0,0,0,0,0,35,0,0
white clover,0,0,0,0,0,0,0,0,0,2
yellow sweet clover,5,0,0,0,0,0,0,0,0,0
