"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"eastern daisy fleabane",70,140,160,180,130,105,110,80,150,90
"red clover",55,61,45,35,31,190,30,110,35,80
"white clover",250,95,20,30,64,140,60,110,170,180
"birdsfoot trefoil",0,94,150,65,45,12,10,2,6,5
