"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",98,0,3,0,0,1,38,1
"10m",86,0,16,0,0,0,63,2
"20m",98,0,3,0,0,0,38,2
"30m",98,0,16,0,0,1,16,1
"40m",86,0,16,0,0,1,16,1
"50m",98,0,3,0,0,3,16,1
"60m",98,0,16,0,0,1,16,1
"70m",98,0,16,0,0,3,16,1
"80m",98,0,16,0,0,1,16,.5
"90m",98,0,16,0,0,3,16,1
