"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"white sweet clover",20,0,0,0,0,0
"wild bergamot",70,66,112,75,25,15
"red clover",1,31,40,20,40,10
"ox eye sunflower",2,4,26,0,0,0
"yellow coneflower",15,1,17,14,0,0
"catnip",0,60,0,0,0,0
"alfalfa",0,5,0,0,0,0
"wild mustard",0,70,0,0,0,0
"hoary vervain",0,0,30,0,0,0
"canada thistle",0,0,0,0,1,15
