"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"red clover",4,19,3,2,0,4,0,0,0,0
"alfalfa",41,66,0,25,0,0,0,0,0,0
"common dandelion",2,8,9,5,4,9,3,9,4,2
"white clover",50,80,100,50,70,60,50,30,90,40
"black medic",0,7,0,0,0,0,0,0,0,0
"wild mustard",0,22,0,0,0,0,0,0,0,0
"black eyed susan",0,0,0,0,0,1,0,0,0,0
"prickly sowthistle",0,0,0,0,0,0,0,0,0,15
