"Nectar Plant Species",0-20m,20-40m,40-50m,50-70m,70-90m,90-100m
"white clover",20,0,0,0,0,0
"plantain",12,0,0,0,0,0
"red clover",4,0,0,0,0,0
"birdsfoot trefoil",44,150,0,0,0,0
"queen annes lace",13,0,3,1,0,1
"eastern daisy fleabane",4,3,2,30,9,5
