Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,2,0,4,8,24,23
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,1,0,0,0,0,0
canada thistle,0,0,0,1,0,0,0
ox eye sunflower,10,13,15,9,8,5,28
purple prairie clover,0,0,3,0,0,0,0
sawtooth sunflower,0,0,0,6,0,0,0
wild bergamot,0,1,4,0,16,12,2
yellow coneflower,36,37,38,13,0,0,4
