“Nectar Plant Species”,0-10m,10-20m,20-30m,30-40m,40-50m
“common milkweed ramet”,2,0,1,0,0
“swamp milkweed ramet”,0,0,0,0,0
“butterfly milkweed ramet”,0,0,0,0,0
"wild bergamot",1,0,0,0,0
"blue vervain",0,0,6,0,0
"wild parsnip",0,0,0,0,7
"black medic",0,0,0,0,63
