Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,0,1,1,11,6,26
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
black medic,2,7,0,0,0,0,0
elderberry,0,0,0,0,1,3,0
foxglove beardtongue,1,2,0,5,33,4,3
ox eye sunflower,0,0,0,0,0,0,4
pale purple coneflower,1,0,1,0,3,2,0
wild parsnip,36,28,40,26,52,20,40
yellow sweet clover,8,0,0,0,0,0,0
