"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",16,16,63,0,0,16,63,1
"10m",16,16,38,0,0,16,38,.5
"20m",16,0,16,0,0,16,38,.5
"30m",16,0,38,0,1,3,63,1
"40m",38,0,63,0,0,16,63,1
