"Nectar Plant Species",0-10m,10-20m,20-30m
"common milkweed ramet",0,4,4
"swamp milkweed ramet",0,0,0
"butterfly milkweed ramet",0,0,0
"canada thistle",12,0,0
"cup plant",4,1,15
"foxglove beardtongue",350,360,530
"pale purple coneflower",4,0,1
