Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,1,1,0,3,0,0,0
swamp milkweed ramet,0,0,0,1,3,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
black medic,5,2,0,5,4,0,0
foxglove beardtongue,0,0,1,0,0,0,0
hemp dogbane,0,0,0,1,1,5,0
pale purple coneflower,8,6,5,1,1,3,0
red clover,92,105,60,55,65,23,2
white clover,3,6,9,4,6,15,13
wild parsnip,15,13,0,3,9,0,0
yellow sweet clover,0,12,3,0,0,11,2
