"Start Time",11:32AM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"honey bee","white clover",1,3,0,1,0,0,0
"solitary bee","red clover",0,0,0,0,0,0,1
"solitary bee","black eyed susan",1,0,0,0,0,0,0
"solitary bee","white clover",0,2,0,0,0,0,0
