Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,3,15,29,0,4,0
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,3,0,1,0
yellow coneflower,51,32,37,108,26,12,157
ironweed,6,0,0,0,0,0,0
red clover,6,0,0,0,0,26,4
white sweet clover,0,18,5,4,0,7,90
black eyed susan,0,2,0,0,0,0,0
wild bergamot,0,0,63,89,106,10,0
yellow sweet clover,0,0,0,0,0,2,0
