"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,0,0,0,3,63,2
"10m",98,0,0,0,0,3,63,3
"20m",86,0,16,0,0,16,63,2
"30m",63,0,0,3,0,0,98,6
"40m",86,0,0,3,0,3,86,3
