"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",190,145,255,285,180,145,215,55,155,115
"canada goldenrod",5,0,0,0,0,0,0,0,0,0
"ox eye sunflower",10,110,60,105,70,35,75,55,75,15
"birdsfoot trefoil",25,10,45,10,3,0,15,0,0,15
"red clover",0,3,0,2,0,0,0,0,0,0
"wild bergamot",0,0,10,0,0,0,0,0,0,0
"new england aster",0,0,0,0,0,3,0,0,0,0
"blue vervain",0,0,0,0,0,0,45,35,40,55
