"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",0,0,0,80,85,90,155,115,65,60
"ox eye sunflower",0,0,12,65,50,10,50,20,25,0
"canada thistle",0,0,9,15,0,0,0,0,0,0
"birdsfoot trefoil",0,0,0,40,40,10,40,25,0,10
"ironweed",0,0,0,0,2,2,0,0,0,0
"red clover",0,0,0,0,0,0,35,0,0,0
"chicory",0,0,0,0,0,0,3,0,0,70
"blue vervain",0,0,0,0,0,0,0,120,45,0
