"Nectar Plant Species",0-10m,10-20m,20-30m
"common milkweed ramet",5,0,0
"swamp milkweed ramet",0,0,0
"butterfly milkweed ramet",0,0,0
"ox eye sunflower",32,130,160
"wild bergamot",270,60,240
"canada thistle",30,130,20
"yellow coneflower",2,5,3
"common milkweed",8,0,0
"prairie cinquefoil",20,0,0
"pale purple coneflower",1,0,0
