"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,6,1,1,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"canada thistle",630,550,550,100,30,200
"wild bergamot",40,80,30,50,0,60
"common milkweed",0,1,0,0,0,0
"ox eye sunflower",0,1,0,0,0,0
"morning glory",0,1,0,1,2,0
"carolina horsenettle",0,0,0,0,2,0
