"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,0,0,0,3,2
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"wild bergamot",380,330,170,140,0,30
"ox eye sunflower",4,1,33,0,0,0
"canada thistle",20,4,35,5,180,30
"morning glory",1,0,0,0,9,0
"yellow coneflower",0,1,0,0,0,0
"wild mustard",0,0,55,0,0,0
"bull thistle",0,0,0,20,0,0
