“Nectar Plant Species”,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
“common milkweed ramet”,0,0,0,0,0,0
“swamp milkweed ramet”,0,0,0,0,0,0
“butterfly milkweed ramet”,0,0,0,0,0,0
"alfalfa",62,0,0,0,0,0
"red clover",1,17,0,1,0,0
"wild mustard",0,9,26,3,0,0
"shepherds purse",0,0,0,2,4,2
"field pennycress",0,0,0,0,0,60
