"section",csg,wsg,forbs,milkweed,common_ramet,swamp_ramet,butterfly_ramet,woody_species,bare_ground,leaf_litter,litter_depth
"0m",1,0,98,0,0,0,0,0,38,16,0.25
"10m",3,0,98,0,0,0,0,0,63,16,0.25
"20m",1,0,98,0,0,0,0,0,16,63,0.75
