"Nectar Plant Species",0-10m,10-20m,20-30m
"common milkweed ramet",0,4,5
"swamp milkweed ramet",0,0,0
"butterfly milkweed ramet",0,0,0
"white sweet clover",85,55,11
"queen annes lace",40,50,0
"black medic",5,20,0
