Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
common milkweed ramet,4,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0
alfalfa,0,7,0,0,0,0
birdsfoot trefoil,26,0,0,0,0,0
compass plant,0,2,0,0,0,0
ox eye sunflower,0,3,0,0,6,0
pale purple coneflower,0,5,0,2,2,5
prairie blazing star,0,0,0,1,0,0
queen annes lace,5,0,0,1,5,0
red clover,2,12,2,2,6,0
sulphur cinquefoil,0,0,0,0,1,0
virginia mountain mint,5,10,0,5,3,0
white sweet clover,0,17,45,70,0,8
wild bergamot,1,1,0,0,3,0
yellow coneflower,7,6,8,6,1,1
yellow sweet clover,0,0,0,0,3,2
