Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,15,20,8,6,6,9,10,11,1,1
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,1,0
alfalfa,0,0,0,0,0,0,1,4,0,0
carolina horsenettle,3,0,0,0,0,0,0,0,0,0
hoary vervain,0,0,0,0,0,0,0,3,0,0
ironweed,0,0,0,2,0,1,0,1,0,0
ox eye sunflower,2,9,3,6,0,1,4,12,1,7
red clover,0,4,30,29,0,0,4,1,0,0
virginia mountain mint,0,0,0,0,0,0,0,20,0,0
wild bergamot,0,0,0,0,0,1,0,0,0,0
yellow coneflower,28,14,27,19,4,21,20,20,20,19
