"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,16,0,0,1,63,.5
"10m",86,0,3,0,0,3,63,1
"20m",63,0,16,0,0,3,63,1
"30m",63,0,3,0,0,1,86,.5
"40m",38,0,38,0,0,3,63,.5
