"section",csg,wsg,forbs,milkweed,common_ramet,swamp_ramet,butterfly_ramet,woody_species,bare_ground,leaf_litter,litter_depth
"0m",16,0,86,0,0,0,0,0,3,3,0.25
"10m",1,0,98,0,0,0,0,0,1,1,1
"20m",38,0,86,0,0,0,0,0,1,1,0.25
"30m",63,0,38,0,0,0,0,0,3,16,0.5
"40m",38,0,63,1,1,0,0,0,1,16,1.5
