"section",csg,wsg,forbs,milkweed,common_ramet,swamp_ramet,butterfly_ramet,woody_species,bare_ground,leaf_litter,litter_depth
"0m",1,0,98,0,0,0,0,0,1,38,1
"10m",16,0,98,0,0,0,0,0,1,38,0.5
"20m",3,0,98,0,0,0,0,0,1,38,0.75
"30m",3,0,98,0,0,0,0,0,1,38,0.25
"40m",0,0,98,0,0,0,0,0,3,38,0.25
"50m",0,0,98,0,0,0,0,0,3,38,0.75
"60m",0,0,98,0,0,0,0,0,1,38,0.5
"70m",0,0,98,0,0,0,0,0,1,38,1
"80m",38,0,86,0,0,0,0,0,3,38,1
"90m",16,0,98,0,0,0,0,0,3,38,0.25
