Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
common milkweed ramet,2,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0
red clover,20,3,20,4,7,15
sulphur cinquefoil,4,1,5,0,0,0
alfalfa,3,0,0,0,0,0
yellow sweet clover,0,0,7,0,0,4
golden alexander,0,0,0,0,1,0
prairie rose,0,0,0,0,0,1
