“Nectar Plant Species”,0-10m,10-20m,20-30m,30-40m,40-50m
“common milkweed ramet”,0,7,12,3,0
“swamp milkweed ramet”,0,0,0,0,0
“butterfly milkweed ramet”,0,0,0,0,0
"wild parsnip",2,0,0,0,0
"whorled milkweed",0,0,2,0,12
