"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"yellow cone flower",140,65,170,31,0,0
"ox eye sunflower",25,32,50,5,40,0
"canada thistle",0,3,1,3,12,0
"new england aster",0,0,10,0,0,0
"wild cucumber",0,0,0,4,0,0
"prickly lettuce",0,0,0,105,70,0
"morning glory",0,0,0,0,2,0
