"Start Time",10:15AM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"solitary bee","white clover",0,1,0,2,0,0,0,0,0,0
"solitary bee","butterfly milkweed",0,2,1,0,0,0,0,0,0,1
"solitary bee","common milkweed",0,1,0,0,0,0,0,0,0,0
"honey bee","white clover",0,0,0,1,1,0,2,0,0,0
"solitary bee","red clover",0,0,0,0,1,0,1,0,0,0
"solitary bee","black eyed susan",0,0,3,0,0,1,0,0,0,3
"solitary bee","white clover",0,0,0,0,0,2,0,0,0,0
"honey bee","black eyed susan",0,2,2,0,0,0,0,0,2,2
