"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",63,1,16,0,0,0,98,1.5
"10m",38,3,16,0,0,0,98,1
"20m",38,1,38,0,0,1,98,1
"30m",63,0,16,0,0,1,86,3
"40m",38,16,38,0,0,1,86,1
