"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"white clover",10,0,5,80,120,100,240,250
"eastern daisy fleabane",4,1,6,1,0,10,0,0
"common dandelion",0,0,0,1,0,0,2,0
"common cinquefoil",12,11,53,65,29,0,0,0
"yellow sweet clover",0,0,20,5,0,8,0,0
"prostrate vervain",0,0,0,0,65,0,0,0
"wild mustard",0,0,0,0,0,10,1,0
