Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,2,2,4,4,6
swamp milkweed ramet,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0
yellow coneflower,88,50,27,0,5
wild bergamot,58,138,42,256,297
virginia mountain mint,193,30,40,11,0
ox eye sunflower,0,4,6,0,0
ironweed,0,0,2,0,0
