"Start Time",12:20PM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"solitary bee","canada thistle",4,0,0,0,0
"solitary bee","common milkweed",7,0,0,2,0
