Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,9,3,3,2,0,0,4,0,NA,NA
swamp milkweed ramet,0,0,0,0,0,0,0,0,NA,NA
butterfly milkweed ramet,0,0,0,0,0,0,0,0,NA,NA
new england aster,70,120,120,40,0,70,20,0,NA,NA
tall boneset,90,80,70,50,100,80,100,40,NA,NA
jeruselem artichoke,30,5,0,20,20,0,20,10,NA,NA
sawtooth sunflower,40,0,0,70,0,95,80,0,NA,NA
stiff goldenrod,50,35,0,40,20,20,40,40,NA,NA
white heath aster,50,0,100,0,0,0,0,0,NA,NA
gray headed cornflower,0,0,5,20,20,0,0,20,NA,NA
white morning glory,0,0,0,5,0,0,0,0,NA,NA
canada goldenrod,0,0,0,0,0,0,20,0,NA,NA
canada thistle,0,0,0,0,0,0,0,20,NA,NA
