"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",3,0,0,1,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"yellow coneflower",1,5,0,10,14
"brown eyed susan",0,0,0,0,0
"ox eye sunflower",11,22,0,13,7
"black eyed susan",1,3,0,3,0
"purple prairie clover",0,22,12,0,0
