"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",68,16,16,0,0,1,86,1.5
"10m",98,0,3,0,0,38,38,4.5
"20m",38,0,38,0,0,16,16,1
"30m",38,63,16,0,0,16,63,1.5
"40m",86,0,16,0,0,38,16,2.5
"50m",86,16,38,0,0,38,63,2
